Serial Number:20343021 --

Date Time - GMT -04:00,"Temp, (*C)","Intensity, (lux)",Button Down,Button Up,Host Connect,EOF,
2018-06-09 17:00:01,20.55,9155, , , , ,
2018-06-09 17:00:16,20.46,9139, , , , ,
2018-06-09 17:00:31,20.46,9134, , , , ,
2018-06-09 17:00:46,20.50,9162, , , , ,
2018-06-09 17:01:01,20.37,9162, , , , ,
2018-06-09 17:01:16,20.37,9196, , , , ,
2018-06-09 17:01:31,20.33,9252, , , , ,
2018-06-09 17:01:46,20.29,9300, , , , ,
2018-06-09 17:02:01,20.20,9382, , , , ,
2018-06-09 17:02:16,20.20,9464, , , , ,
2018-06-09 17:02:31,20.16,9536, , , , ,
2018-06-09 17:02:46,20.12,9610, , , , ,
2018-06-09 17:03:01,20.12,9687, , , , ,
2018-06-09 17:03:16,20.12,9756, , , , ,
2018-06-09 17:03:31,20.12,9792, , , , ,
2018-06-09 17:03:46,20.07,9818, , , , ,
2018-06-09 17:04:01,20.03,9825, , , , ,
2018-06-09 17:04:16,19.99,9825, , , , ,
2018-06-09 17:04:31,19.99,9812, , , , ,
2018-06-09 17:04:46,19.95,9784, , , , ,
2018-06-09 17:05:01,19.95,9743, , , , ,
2018-06-09 17:05:16,19.86,9679, , , , ,
2018-06-09 17:05:31,19.86,9605, , , , ,
2018-06-09 17:05:46,19.82,9536, , , , ,
2018-06-09 17:06:01,19.82,9459, , , , ,
2018-06-09 17:06:16,19.82,9395, , , , ,
2018-06-09 17:06:31,19.77,9313, , , , ,
2018-06-09 17:06:46,19.77,9252, , , , ,
2018-06-09 17:07:01,19.77,9175, , , , ,
2018-06-09 17:07:16,19.73,9119, , , , ,
2018-06-09 17:07:31,19.77,9078, , , , ,
2018-06-09 17:07:46,19.73,9037, , , , ,
2018-06-09 17:08:01,19.73,9021, , , , ,
2018-06-09 17:08:16,19.69,9021, , , , ,
2018-06-09 17:08:31,19.73,9021, , , , ,
2018-06-09 17:08:46,19.65,9037, , , , ,
2018-06-09 17:09:01,19.65,9065, , , , ,
2018-06-09 17:09:16,19.56,9106, , , , ,
2018-06-09 17:09:31,19.56,9119, , , , ,
2018-06-09 17:09:46,19.56,9188, , , , ,
2018-06-09 17:10:01,19.52,9231, , , , ,
2018-06-09 17:10:16,19.60,9272, , , , ,
2018-06-09 17:10:31,19.56,9341, , , , ,
2018-06-09 17:10:46,19.56,9423, , , , ,
2018-06-09 17:11:01,19.52,9508, , , , ,
