datetime,y
21/11/2019 01:42,-0.083
21/11/2019 01:42,-0.099
21/11/2019 01:42,-0.099
21/11/2019 01:42,-0.095
21/11/2019 01:42,-0.083
21/11/2019 01:42,-0.099
21/11/2019 01:42,-0.099
21/11/2019 01:42,-0.103
21/11/2019 01:42,-0.099
21/11/2019 01:42,-0.099
21/11/2019 01:42,-0.106
21/11/2019 01:42,-0.099
21/11/2019 01:42,-0.091
21/11/2019 01:42,-0.103
21/11/2019 01:42,-0.095
21/11/2019 01:42,-0.106
21/11/2019 01:42,-0.095
21/11/2019 01:42,-0.087
21/11/2019 01:42,-0.091
21/11/2019 01:42,-0.091
21/11/2019 01:42,-0.095
21/11/2019 01:42,-0.103
21/11/2019 01:42,-0.103
21/11/2019 01:42,-0.091
21/11/2019 01:42,-0.087
21/11/2019 01:42,-0.099
21/11/2019 01:42,-0.095
21/11/2019 01:42,-0.095
21/11/2019 01:42,-0.091
21/11/2019 01:42,-0.091
21/11/2019 01:42,-0.099
21/11/2019 01:42,-0.103
21/11/2019 01:42,-0.091
21/11/2019 01:42,-0.095
21/11/2019 01:42,-0.095
21/11/2019 01:42,-0.087
21/11/2019 01:42,-0.106
21/11/2019 01:42,-0.099
21/11/2019 01:42,-0.099
21/11/2019 01:42,-0.099
21/11/2019 01:42,-0.091
21/11/2019 01:42,-0.087
21/11/2019 01:42,-0.095
21/11/2019 01:42,-0.091
21/11/2019 01:42,-0.095
21/11/2019 01:42,-0.103
21/11/2019 01:42,-0.083
21/11/2019 01:42,-0.103
21/11/2019 01:42,-0.087
21/11/2019 01:42,-0.103
21/11/2019 01:42,-0.083
21/11/2019 01:42,-0.087
21/11/2019 01:42,-0.103
21/11/2019 01:42,-0.099
21/11/2019 01:42,-0.099
21/11/2019 01:42,-0.106
21/11/2019 01:42,-0.103
21/11/2019 01:43,-0.103
21/11/2019 01:43,-0.091
21/11/2019 01:43,-0.095
21/11/2019 01:43,-0.091
21/11/2019 01:43,-0.106
21/11/2019 01:43,-0.095
21/11/2019 01:43,-0.095
21/11/2019 01:43,-0.095
21/11/2019 01:43,-0.095
21/11/2019 01:43,-0.11
21/11/2019 01:43,-0.103
21/11/2019 01:43,-0.087
21/11/2019 01:43,-0.083
21/11/2019 01:43,-0.091
21/11/2019 01:43,-0.099
21/11/2019 01:43,-0.095
21/11/2019 01:43,-0.099
21/11/2019 01:43,-0.083
21/11/2019 01:43,-0.095
21/11/2019 01:43,-0.099
21/11/2019 01:43,-0.099
21/11/2019 01:43,-0.091
21/11/2019 01:43,-0.095
21/11/2019 01:43,-0.095
21/11/2019 01:43,-0.095
21/11/2019 01:43,-0.091
21/11/2019 01:43,-0.083
21/11/2019 01:43,-0.091
21/11/2019 01:43,-0.103
21/11/2019 01:43,-0.103
21/11/2019 01:43,-0.099
21/11/2019 01:43,-0.106
21/11/2019 01:43,-0.099
21/11/2019 01:43,-0.103
21/11/2019 01:43,-0.099
21/11/2019 01:43,-0.087
21/11/2019 01:43,-0.095
21/11/2019 01:43,-0.091
21/11/2019 01:43,-0.099
21/11/2019 01:43,-0.103
21/11/2019 01:43,-0.087
21/11/2019 01:43,-0.095
21/11/2019 01:43,-0.106
21/11/2019 01:43,-0.099
