datetime,y
21/11/2019 03:11,0.287
21/11/2019 03:11,0.295
21/11/2019 03:11,0.302
21/11/2019 03:11,0.291
21/11/2019 03:11,0.298
21/11/2019 03:11,0.302
21/11/2019 03:11,0.31
21/11/2019 03:11,0.291
21/11/2019 03:11,0.295
21/11/2019 03:11,0.302
21/11/2019 03:11,0.291
21/11/2019 03:11,0.295
21/11/2019 03:11,0.302
21/11/2019 03:11,0.291
21/11/2019 03:11,0.291
21/11/2019 03:11,0.291
21/11/2019 03:11,0.295
21/11/2019 03:11,0.295
21/11/2019 03:11,0.295
21/11/2019 03:11,0.298
21/11/2019 03:11,0.298
21/11/2019 03:11,0.302
21/11/2019 03:11,0.291
21/11/2019 03:11,0.31
21/11/2019 03:11,0.295
21/11/2019 03:11,0.295
21/11/2019 03:11,0.295
21/11/2019 03:11,0.298
21/11/2019 03:11,0.291
21/11/2019 03:11,0.302
21/11/2019 03:11,0.295
21/11/2019 03:11,0.295
21/11/2019 03:11,0.283
21/11/2019 03:11,0.295
21/11/2019 03:11,0.295
21/11/2019 03:11,0.298
21/11/2019 03:11,0.302
21/11/2019 03:11,0.291
21/11/2019 03:11,0.298
21/11/2019 03:11,0.318
21/11/2019 03:11,0.306
21/11/2019 03:11,0.302
21/11/2019 03:12,0.291
21/11/2019 03:12,0.287
21/11/2019 03:12,0.295
21/11/2019 03:12,0.291
21/11/2019 03:12,0.295
21/11/2019 03:12,0.298
21/11/2019 03:12,0.302
21/11/2019 03:12,0.298
21/11/2019 03:12,0.295
21/11/2019 03:12,0.287
21/11/2019 03:12,0.302
21/11/2019 03:12,0.298
21/11/2019 03:12,0.302
21/11/2019 03:12,0.283
21/11/2019 03:12,0.302
21/11/2019 03:12,0.295
21/11/2019 03:12,0.298
21/11/2019 03:12,0.291
21/11/2019 03:12,0.298
21/11/2019 03:12,0.295
21/11/2019 03:12,0.302
21/11/2019 03:12,0.295
21/11/2019 03:12,0.298
21/11/2019 03:12,0.298
21/11/2019 03:12,0.302
21/11/2019 03:12,0.302
21/11/2019 03:12,0.291
21/11/2019 03:12,0.287
21/11/2019 03:12,0.31
21/11/2019 03:12,0.287
21/11/2019 03:12,0.298
21/11/2019 03:12,0.291
21/11/2019 03:12,0.295
21/11/2019 03:12,0.298
21/11/2019 03:12,0.295
21/11/2019 03:12,0.298
21/11/2019 03:12,0.302
21/11/2019 03:12,0.295
21/11/2019 03:12,0.291
21/11/2019 03:12,0.302
21/11/2019 03:12,0.302
21/11/2019 03:12,0.298
21/11/2019 03:12,0.302
21/11/2019 03:12,0.302
21/11/2019 03:12,0.287
21/11/2019 03:12,0.295
21/11/2019 03:12,0.298
21/11/2019 03:12,0.302
21/11/2019 03:12,0.295
21/11/2019 03:12,0.298
21/11/2019 03:12,0.295
21/11/2019 03:12,0.295
21/11/2019 03:12,0.306
21/11/2019 03:12,0.302
21/11/2019 03:12,0.302
21/11/2019 03:12,0.298
21/11/2019 03:12,0.287
21/11/2019 03:12,0.287
21/11/2019 03:12,0.291
21/11/2019 03:12,0.298
21/11/2019 03:13,0.291
21/11/2019 03:13,0.291
21/11/2019 03:13,0.295
21/11/2019 03:13,0.295
21/11/2019 03:13,0.295
21/11/2019 03:13,0.302
21/11/2019 03:13,0.295
21/11/2019 03:13,0.298
21/11/2019 03:13,0.298
21/11/2019 03:13,0.291
21/11/2019 03:13,0.291
21/11/2019 03:13,0.302
21/11/2019 03:13,0.295
21/11/2019 03:13,0.298
21/11/2019 03:13,0.279
21/11/2019 03:13,0.295
21/11/2019 03:13,0.291
21/11/2019 03:13,0.295
21/11/2019 03:13,0.302
21/11/2019 03:13,0.295
21/11/2019 03:13,0.291
21/11/2019 03:13,0.295
21/11/2019 03:13,0.302
21/11/2019 03:13,0.298
21/11/2019 03:13,0.302
21/11/2019 03:13,0.302
21/11/2019 03:13,0.298
21/11/2019 03:13,0.295
21/11/2019 03:13,0.298
21/11/2019 03:13,0.295
21/11/2019 03:13,0.298
21/11/2019 03:13,0.295
21/11/2019 03:13,0.298
21/11/2019 03:13,0.295
21/11/2019 03:13,0.295
21/11/2019 03:13,0.302
21/11/2019 03:13,0.302
21/11/2019 03:13,0.298
21/11/2019 03:13,0.306
21/11/2019 03:13,0.291
21/11/2019 03:13,0.298
21/11/2019 03:13,0.295
21/11/2019 03:13,0.298
21/11/2019 03:13,0.306
21/11/2019 03:13,0.298
21/11/2019 03:13,0.302
21/11/2019 03:13,0.295
21/11/2019 03:13,0.283
21/11/2019 03:13,0.291
21/11/2019 03:13,0.298
