Parameter,Units,Value
Window of Opportunity maximum length,[days],7.71111111111111
Frequency of WoOs >= 3 days WoO,[n],1
Frequency of 1-day WoO,[n],0
Frequency of 2-day WoO,[n],0
Frequency of 3-day WoO,[n],0
Frequency of 5-day WoO,[n],0
Frequency of 6-day WoO,[n],0
Frequency of 7-day WoO,[n],1
Frequency of 8-day WoO,[n],0
Frequency of 10-day WoO,[n],0
