Parameter,Units,Event,Value
Flood median Median flood Curr. Vel ,[m/s],9,0.199054542597124
Flood median Median flood Curr. Vel ,[m/s],10,
Flood median Median flood Curr. Vel ,[m/s],11,0.744462902474786
Flood median Median flood Curr. Vel ,[m/s],12,0.78912414073752
Flood median Median flood Curr. Vel ,[m/s],13,0.735951432896119
Flood median Median flood Curr. Vel ,[m/s],14,0.768030016993002
Flood median Median flood Curr. Vel ,[m/s],15,0.313879687137155
Flood median Median flood Curr. Vel ,[m/s],16,
Flood median Median flood Curr. Vel ,[m/s],17,0.193303713256335
Ebb upper 9th percentil Curr. Vel.,[m/s],1,
Ebb upper 9th percentil Curr. Vel.,[m/s],2,0.762310804895262
Ebb upper 9th percentil Curr. Vel.,[m/s],3,0.787344202765043
Ebb upper 9th percentil Curr. Vel.,[m/s],4,0.750415513615002
Ebb upper 9th percentil Curr. Vel.,[m/s],5,0.169887172907758
Ebb upper 9th percentil Curr. Vel.,[m/s],6,0.632207420663099
Ebb upper 9th percentil Curr. Vel.,[m/s],7,0.0660057880395967
Ebb upper 9th percentil Curr. Vel.,[m/s],8,0.242147401556547
Ebb upper 9th percentil Curr. Vel.,[m/s],9,0.262144453333051
Ebb upper 9th percentil Curr. Vel.,[m/s],10,
Ebb upper 9th percentil Curr. Vel.,[m/s],11,0.789285880178299
Ebb upper 9th percentil Curr. Vel.,[m/s],12,0.791557044709167
Ebb upper 9th percentil Curr. Vel.,[m/s],13,0.769851587975964
Ebb upper 9th percentil Curr. Vel.,[m/s],14,0.745911661979834
Ebb upper 9th percentil Curr. Vel.,[m/s],15,0.293953791854588
Ebb upper 9th percentil Curr. Vel.,[m/s],16,
Ebb upper 9th percentil Curr. Vel.,[m/s],17,0.306474993003834
Flood upper 95th percntil Curr. Vel.,[m/s],1,
Flood upper 95th percntil Curr. Vel.,[m/s],2,0.726347088969205
Flood upper 95th percntil Curr. Vel.,[m/s],3,0.784104125681287
Flood upper 95th percntil Curr. Vel.,[m/s],4,0.75066308515841
Flood upper 95th percntil Curr. Vel.,[m/s],5,0.125034458389109
Flood upper 95th percntil Curr. Vel.,[m/s],6,0.626117510504772
Flood upper 95th percntil Curr. Vel.,[m/s],7,0.175038749796944
Flood upper 95th percntil Curr. Vel.,[m/s],8,
Flood upper 95th percntil Curr. Vel.,[m/s],9,0.256202490975446
Flood upper 95th percntil Curr. Vel.,[m/s],10,
Flood upper 95th percntil Curr. Vel.,[m/s],11,0.786597400660631
Flood upper 95th percntil Curr. Vel.,[m/s],12,0.791445966159161
Flood upper 95th percntil Curr. Vel.,[m/s],13,0.751034375366709
Flood upper 95th percntil Curr. Vel.,[m/s],14,0.770194469367706
Flood upper 95th percntil Curr. Vel.,[m/s],15,0.34344981353777
Flood upper 95th percntil Curr. Vel.,[m/s],16,
Flood upper 95th percntil Curr. Vel.,[m/s],17,0.243245837211227
Upper 95th percentile wave orbital velocity,[m/s],1,
Upper 95th percentile wave orbital velocity,[m/s],2,0.124980351846258
Upper 95th percentile wave orbital velocity,[m/s],3,0.124836257258617
Upper 95th percentile wave orbital velocity,[m/s],4,0.0769962634397382
Upper 95th percentile wave orbital velocity,[m/s],5,0.123269741699202
Upper 95th percentile wave orbital velocity,[m/s],6,0.14312921743314
Upper 95th percentile wave orbital velocity,[m/s],7,0.107893004363928
Upper 95th percentile wave orbital velocity,[m/s],8,0.147527182557978
Upper 95th percentile wave orbital velocity,[m/s],9,0.164344200743243
Upper 95th percentile wave orbital velocity,[m/s],10,
Upper 95th percentile wave orbital velocity,[m/s],11,0.183186778716099
Upper 95th percentile wave orbital velocity,[m/s],12,0.0530213828460714
Upper 95th percentile wave orbital velocity,[m/s],13,0.142464563674275
Upper 95th percentile wave orbital velocity,[m/s],14,0.138705533454554
Upper 95th percentile wave orbital velocity,[m/s],15,0.147385141749699
Upper 95th percentile wave orbital velocity,[m/s],16,
Upper 95th percentile wave orbital velocity,[m/s],17,0.183164527473009
Mean wave orbital velocity,[m/s],1,
Mean wave orbital velocity,[m/s],2,0.0187886533066604
Mean wave orbital velocity,[m/s],3,0.0227182798617218
Mean wave orbital velocity,[m/s],4,0.0152448657564071
Mean wave orbital velocity,[m/s],5,0.0986301570017997
Mean wave orbital velocity,[m/s],6,0.0210024562271673
Mean wave orbital velocity,[m/s],7,0.0952104033231584
Mean wave orbital velocity,[m/s],8,0.145084635011912
Mean wave orbital velocity,[m/s],9,0.149314187275165
Mean wave orbital velocity,[m/s],10,
Mean wave orbital velocity,[m/s],11,0.0293880252305013
Mean wave orbital velocity,[m/s],12,0.0107162593150928
Mean wave orbital velocity,[m/s],13,0.0230406733752219
Mean wave orbital velocity,[m/s],14,0.0153844006639334
Mean wave orbital velocity,[m/s],15,0.128343155779338
Mean wave orbital velocity,[m/s],16,
Mean wave orbital velocity,[m/s],17,0.154804043928895
Median wave orbital velocity,[m/s],1,
Median wave orbital velocity,[m/s],2,0.0048058892822984
Median wave orbital velocity,[m/s],3,0.00502619415013492
Median wave orbital velocity,[m/s],4,0.00490759582697008
Median wave orbital velocity,[m/s],5,0.0951433100517255
Median wave orbital velocity,[m/s],6,0.00409325989730694
Median wave orbital velocity,[m/s],7,0.0898254349364179
Median wave orbital velocity,[m/s],8,0.145084635011912
Median wave orbital velocity,[m/s],9,0.148176829605783
Median wave orbital velocity,[m/s],10,
Median wave orbital velocity,[m/s],11,0.00502403082642837
Median wave orbital velocity,[m/s],12,0.00373732315020663
Median wave orbital velocity,[m/s],13,0.00501168065507113
Median wave orbital velocity,[m/s],14,0.00501677774713804
Median wave orbital velocity,[m/s],15,0.123703633948122
Median wave orbital velocity,[m/s],16,
Median wave orbital velocity,[m/s],17,0.150919929160148
